"","Row.names","Kingdom","Phylum","Class","Order","Family","Genus","Species","taxon","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6","beta","direct","group","Study"
"31","3c0fe04f398893d60ad4becb8db139b4","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_bacterium","3c0fe04f398893d60ad4becb8db139b4",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"32","3fe9790738f377c6701b62ec0dadf5ac","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-001","uncultured_bacterium","3fe9790738f377c6701b62ec0dadf5ac",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"33","41c50953241cdd1c3c7057f67b9df95d","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae",NA,"41c50953241cdd1c3c7057f67b9df95d",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"34","42813a7ac2260688d1e5def012a3bf78","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_bacterium","42813a7ac2260688d1e5def012a3bf78",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"35","4316c8540d578e5c2cc3a3cb7d42de11","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_organism","4316c8540d578e5c2cc3a3cb7d42de11",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"36","43bafcbff59dcf1ac8758da64ef9b5bc","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_bacterium","43bafcbff59dcf1ac8758da64ef9b5bc",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"37","46bd431314d551a4394037b4b0e5f9da","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_bacterium","46bd431314d551a4394037b4b0e5f9da",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"38","48101aa1870b7af74b10fbac5d337965","d__Bacteria","Firmicutes","Clostridia","Clostridia_UCG-014","Clostridia_UCG-014","Clostridia_UCG-014",NA,"48101aa1870b7af74b10fbac5d337965",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"39","4908017090823380efa89d3e236c811e","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_bacterium","4908017090823380efa89d3e236c811e",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"40","4c88ac342a1556e05dd786f47099f724","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA,"4c88ac342a1556e05dd786f47099f724",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"41","4e38395c5e80618eac785b2ddba6ed13","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_bacterium","4e38395c5e80618eac785b2ddba6ed13",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"42","4f6f8f2b3e3966da6e698bf8b9455e8d","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA,"4f6f8f2b3e3966da6e698bf8b9455e8d",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"43","52fdc469d22151ff5173d5f656fbbf43","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella","uncultured_bacterium","52fdc469d22151ff5173d5f656fbbf43",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"44","5420199d2a70e68cf7b96a56d992426b","d__Bacteria","Firmicutes","Clostridia","Clostridia_UCG-014","Clostridia_UCG-014","Clostridia_UCG-014",NA,"5420199d2a70e68cf7b96a56d992426b",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"45","54f3fa8080e96ee8c48b77627ac0ae3a","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,"54f3fa8080e96ee8c48b77627ac0ae3a",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"46","551c50d2cb548ec954b999d2bf9b5017","d__Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Faecalibaculum","uncultured_bacterium","551c50d2cb548ec954b999d2bf9b5017",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"47","5693be37485f35faa20c66765cd1aa1a","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_bacterium","5693be37485f35faa20c66765cd1aa1a",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"48","56b22d768a1396ed9e442d54a5ea4dbd","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-001","uncultured_bacterium","56b22d768a1396ed9e442d54a5ea4dbd",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"49","58cfcb3f9f219e231e7d19aebf3da3e5","d__Bacteria","Firmicutes","Clostridia","Clostridia_vadinBB60_group","Clostridia_vadinBB60_group","Clostridia_vadinBB60_group","uncultured_bacterium","58cfcb3f9f219e231e7d19aebf3da3e5",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"50","644bf633912f48d076e9b35b1da36cec","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","uncultured","uncultured_bacterium","644bf633912f48d076e9b35b1da36cec",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"51","65a13f1d1a0ce42556e49a570ddd8dcf","d__Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA,"65a13f1d1a0ce42556e49a570ddd8dcf",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"52","668fdb718997fc1589c7817655d4bb5f","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_vulgatus","668fdb718997fc1589c7817655d4bb5f",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"53","67e330de0289f13cf25c1f4ac71dbf19","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","uncultured_bacterium","67e330de0289f13cf25c1f4ac71dbf19",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"54","6b0ff3b95f5a0170f8cf05f2d648be69","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA,"6b0ff3b95f5a0170f8cf05f2d648be69",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"55","6b5212bb3ea493c6cf731c8e912b3982","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA,"6b5212bb3ea493c6cf731c8e912b3982",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"56","6c5d5533b2e2bb0f16c28448f394d583","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","A2",NA,"6c5d5533b2e2bb0f16c28448f394d583",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"57","6ce7f065c691514aedfb9f4d5170984e","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA,"6ce7f065c691514aedfb9f4d5170984e",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"58","6e61f4bede587c68efcaa016e92085f2","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA,"6e61f4bede587c68efcaa016e92085f2",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"59","6f2414f3216c719e8f1a44de9f625c94","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_acidifaciens","6f2414f3216c719e8f1a44de9f625c94",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"60","71d66ceaddb03115b1c894ff4284735c","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_bacterium","71d66ceaddb03115b1c894ff4284735c",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"61","73ecb2b42a2a27b594d1940b3b01355c","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA,"73ecb2b42a2a27b594d1940b3b01355c",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"62","76f087ab34b5c467c119809336f32ce1","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_intestinalis","76f087ab34b5c467c119809336f32ce1",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"63","78d4a7090953f5b54ddaa1bce83e6f5b","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcaceae","uncultured_bacterium","78d4a7090953f5b54ddaa1bce83e6f5b",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"64","7d1e0ce268d40f6d52cffecca53434ea","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_bacterium","7d1e0ce268d40f6d52cffecca53434ea",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"65","808fc49209d4f8fe54132f135c2d08d9","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","[Eubacterium]_siraeum_group","uncultured_bacterium","808fc49209d4f8fe54132f135c2d08d9",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"66","810842574c3a46d5a0fe03ac96956dec","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides_sp.","810842574c3a46d5a0fe03ac96956dec",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"67","81777c9184414a63c0586e6e5eb4eb06","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia","Clostridiales_bacterium","81777c9184414a63c0586e6e5eb4eb06",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"68","832c75f7c1e0c420bef1a9e8455f208e","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_bacterium","832c75f7c1e0c420bef1a9e8455f208e",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"69","877d2f269c0098e711943433da21e87d","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA,"877d2f269c0098e711943433da21e87d",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"70","8794197f474fbc21b84ab5132fe53de8","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_Muribaculaceae","8794197f474fbc21b84ab5132fe53de8",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"71","8839affd1162152d69bfbd0a9856aa70","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_bacterium","8839affd1162152d69bfbd0a9856aa70",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"72","892491fdeb936adbcff225e26ae6c5df","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_FCS020_group","uncultured_bacterium","892491fdeb936adbcff225e26ae6c5df",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"73","8a0ef250a031aa7566a8964f5660dccd","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_UCG-001","uncultured_bacterium","8a0ef250a031aa7566a8964f5660dccd",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
"74","8a9b52ca0f85ada2b6e4d61f704f53f9","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Clostridium_sp.","8a9b52ca0f85ada2b6e4d61f704f53f9",0,FALSE,FALSE,FALSE,FALSE,0,"Not Significant","R6/1_control","Gubert et al. 2022"
